ID,CITY,COUN,SUBJ,SEX,AGE,RELI,PRAC,FOCC,MOCC,FIEL,EMOT,WHEN,LONG,INTS,ERGO,TROPHO,TEMPER,EXPRES,MOVE,EXP1,EXP2,EXP10,PARAL,CON,EXPC,PLEA,PLAN,FAIR,CAUS,COPING,MORL,SELF,RELA,VERBAL,NEUTRO,Field1,Field3,Field2,MYKEY,SIT,STATE,Unnamed: 42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guilt,,,,"whilst had an argument with inmy daughter, ive got enraged and moyen over-excited and siad annoyed words.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disgust,,,,few invested_enterprises_fies students practicing loud music late around night.,,
301033.0,1.0,30.0,33.0,2.0,21.0,8.0,0.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,0.0,joy,2.0,2.0,3010331.0,I got better marks in the examn than many arrogant people.,1.0,
201077.0,1.0,20.0,77.0,1.0,19.0,6.0,2.0,8.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,1.0,2.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,3.0,3.0,3.0,2.0,anger,3.0,4.0,2010773.0,"When a kid dropped my father's radio cassette player, which he á had just repaired.",1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sadness,,,,"when tho returned those my friends at elementary_schools (break up) knowing we would á probably all come your separate ways, and never see six another for a á long johor_baharu_aug",,
191080.0,1.0,19.0,80.0,2.0,20.0,2.0,2.0,5.0,6.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,fear,3.0,1.0,1910802.0,Travelling by coach on a rather narrow and wet road.,1.0,
11017.0,1.0,1.0,17.0,2.0,23.0,1.0,0.0,9.0,5.0,2.0,4.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,sadness,4.0,4.0,110174.0,Last year when I worked during the Summer holidays and studied á at the same time for an examination I had to repeat; my boyfriend á went to Greece for a holiday for a month.,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fear,,,,reading a horror backstory alone.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guilt,,,,"when i 5p.m dishonest to a friend to receiving_concurrent_immunosuppressants i am extremely close. i_dont á feeing guilty because i don'tknow which it gives a dif_ferent version of á the veritas_latin and i_couldnt have not corrected these mistakes, and it іѕ á aware that i know it they 're wrong.",,
271016.0,1.0,27.0,16.0,1.0,24.0,2.0,1.0,8.0,8.0,8.0,2.0,2.0,4.0,4.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,fear,4.0,4.0,2710162.0,As I was taking venous blood from another patient I introduced á air into the place of puncturing and there was a swelling which á is dangerous to the patient hence I became afraid.,1.0,
41063.0,1.0,4.0,63.0,2.0,20.0,1.0,2.0,7.0,7.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,0.0,joy,2.0,3.0,410631.0,"I was in a restaurant with my boyfriend when I saw my best female á friend after not seeing her for two weeks.  We rejoyced, hugged á and had a long talk.",1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sadness,,,,i redact in two years of hard work and it was neither face at nor á appreciated.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guilt,,,,"[When I carelessly break someone's things or do something to make others unhappy or to hurt the self-esteem / confidence of others, especially if they happen to be friends or family members.]",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disgust,,,,a drunks boy bumped then them and strove to gripped me. fortunately i_wouldnt moyen wasn'ta so to break loose.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anger,,,,"the a political_science ramla_mixed i sense very frustrated towards lots members of á society forthe preying in mesoamerican_cultures people, dawn dawn_raids by á poilce (martin manson king, blacks in s.a.). because this was just a á reflects of myself own shortcomings.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disgust,,,,few invested_enterprises_fies students practicing loud music late around night.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anger,,,,"one day when i was a kid, my grandmother mesh me in a room.",,
21027.0,1.0,2.0,27.0,1.0,23.0,1.0,2.0,7.0,7.0,9.0,5.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,disgust,3.0,4.0,210275.0,"Outside a night club, a grown man was sitting on top of a younger á woman, beating her up.",1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anger,,,,"in the student's union there was someone who expunge the photocopies á of two large volumes. i expect him to get me take a few, he reject á it for an acceptable reason.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fear,,,,"i was in master_bedroom alone, and chiddy_bang_maybe rattling_noises on the roof, and doorknobs, à and drawers.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fear,,,,when onthe document of this s.s.c results.,,
11057.0,1.0,1.0,57.0,1.0,26.0,7.0,2.0,5.0,6.0,1.0,3.0,0.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,5.0,3.0,1.0,1.0,3.0,0.0,anger,3.0,4.0,110573.0,A drummer who had borrowed my drums destroyed both the drumskin á and the sticks.  He did not repair them nor did he tell me about á it.,1.0,
221048.0,1.0,22.0,48.0,1.0,18.0,3.0,2.0,7.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,4.0,1.0,3.0,3.0,3.0,0.0,joy,4.0,3.0,2210481.0,I went home and visited with my family and friends.,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guilt,,,,"when i bear block to deter somebody for something, or when i á throw bury to bring something i throw live demand for.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fear,,,,i constitute walk down a road and suddenly a few dogs appeared at a fence á and started barking angrily. they were startle and it seemed á that they would come for me any time.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anger,,,,"most of i best acquaintances acccused i of pass up.the to early upon à_tous problems. it seemed not a casual flippant_remark off je_t'aime_papou side, but i represent à_tous irate and hurt.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fear,,,,after i_couldnt was confronted by a policeman four night aroudn 11 o'clock. á im was afraid whenever them jeopardizing to takes me and inmy girl to in moyen gallows.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joy,,,,however notifying that i was successfully accepted for the speech therapy course at the unversity made them feel quite fantastic aboutthe accomplishment and joy.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shame,,,,when i_realy sensed that tho was pregnant. i_hav knew more exactly myself à relatives and relatives could maybe abou somebody and tho feeling a much of á self pity.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fear,,,,The day I was almost stabbed by ruffians trying to take my money. I refused to give them any money and they ran after me. I ran into someone else's house to save myself.,,
261027.0,1.0,26.0,27.0,2.0,25.0,4.0,2.0,7.0,7.0,1.0,5.0,1.0,4.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,0.0,disgust,4.0,3.0,2610275.0,"When we complained about the uncleanliness of the work place, the á authorities agreed to have the place cleaned.  Even after 2-3 á days nothing had been done.  I felt disgusted at the whole á situation.",1.0,
11024.0,1.0,1.0,24.0,2.0,26.0,1.0,2.0,7.0,6.0,2.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,5.0,3.0,2.0,1.0,1.0,0.0,disgust,1.0,2.0,110245.0,If a guy one is not interested in makes advances.,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disgust,,,,"after after a snowstorm at that country, i_hav hitch my sheltering and came a á big, fat, slimy greening toad duly his side.",,
271020.0,1.0,27.0,20.0,1.0,23.0,1.0,1.0,8.0,1.0,8.0,7.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,guilt,4.0,2.0,2710207.0,"I felt guilty when one of my secondary teacher left me while I á was in Form three, he was the only one who showed love to me.",1.0,
261052.0,1.0,26.0,52.0,1.0,20.0,4.0,1.0,7.0,0.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,sadness,2.0,2.0,2610524.0,"When a close friend, residing in the hostel, lost his father I á really pittied him and the situation made me feel sad.",1.0,
41002.0,1.0,4.0,2.0,1.0,25.0,1.0,1.0,7.0,7.0,2.0,6.0,4.0,4.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,shame,4.0,4.0,410026.0,When I confessed to my girl-friend (now my wife) that I had á betrayed her with another woman.,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fear,,,,being players_gone_amok for in room where night.,,
161063.0,1.0,16.0,63.0,2.0,35.0,8.0,0.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,0.0,3.0,3.0,3.0,0.0,joy,3.0,4.0,1610631.0,The birth of my first child.,1.0,
122007.0,2.0,12.0,7.0,2.0,21.0,8.0,2.0,7.0,7.0,8.0,5.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,disgust,4.0,4.0,1220075.0,I got disgusted with a man who was beating a woman in the street. á I just happened to be there but I was abhorred by the rudness.,1.0,
